id,query
1,Suggest a quick vegan breakfast recipe
2,Give me a dessert recipe with chocolate 
3, What is the best way to cook a steak?
4, I have eggs and bread. What can I cook?
5, I have milk and some fruits for a smoothie. What can I make?
6, What can I make when breaking a fast ?
7, I want to make a healthy breakfast. What can I make?
8, beans
9, I have eggs.what to do?
10, I have 15 minutes. Can you give me a simple American breakfast for 1 that is vegetarian and stovetop only?
11, Suggest a 15-minute Italian snack for 2 that is gluten-free and one-pot with minimal cleanup.
12, I need a quick 15-minute Chinese lunch for 1 that is dairy-free and stovetop only with no deep frying.
13, What is an easy 30-minute Greek dinner for 2 that is vegetarian made in one pot?
14, Give me a 30-minute Italian breakfast for 2 that is dairy-free and stovetop only.
15, I want a 30-minute American lunch for 4 that is gluten-free using a sheet pan for easy cleanup.
16, Any 45-minute Greek snack or mezze for 3 that is dairy-free mostly store-bought with one quick one-pot dip?
17, Can you suggest a 1-hour Italian lunch for 4 that is gluten-free and sheet-pan based?
